incident_number,created_at,alert_identifier,node_name,metric_value,service,description,alert_condition,alert_id
5495,2023-08-30 07:33:26,alert_282,node_K,31,service_F,Description of event,condition_2,8046
9292,2023-08-13 07:33:26,alert_910,node_C,43,service_D,Description of event,condition_1,1148
4845,2023-08-08 07:33:26,alert_512,node_K,74,service_F,Description of event,condition_2,3418
8715,2023-08-24 07:33:26,alert_805,node_W,33,service_A,Description of event,condition_2,9720
4519,2023-08-10 07:33:26,alert_819,node_P,44,service_C,Description of event,condition_2,2757
8088,2023-08-30 07:33:26,alert_259,node_E,54,service_D,Description of event,condition_1,6811
8472,2023-08-01 07:33:26,alert_635,node_U,63,service_B,Description of event,condition_3,2144
6260,2023-08-15 07:33:26,alert_389,node_E,35,service_C,Description of event,condition_2,5997
5540,2023-08-07 07:33:26,alert_205,node_L,65,service_E,Description of event,condition_4,1782
7378,2023-08-04 07:33:26,alert_354,node_V,49,service_A,Description of event,condition_5,3686
5766,2023-08-20 07:33:26,alert_811,node_W,79,service_E,Description of event,condition_3,3665
4735,2023-08-29 07:33:26,alert_880,node_Z,62,service_C,Description of event,condition_5,7057
5941,2023-08-10 07:33:26,alert_347,node_Z,82,service_A,Description of event,condition_1,5362
3725,2023-08-01 07:33:26,alert_708,node_V,74,service_C,Description of event,condition_3,1575
2978,2023-08-25 07:33:26,alert_794,node_P,69,service_A,Description of event,condition_1,6710
5672,2023-08-11 07:33:26,alert_745,node_Q,65,service_F,Description of event,condition_2,2293
4495,2023-08-08 07:33:26,alert_560,node_K,96,service_F,Description of event,condition_5,4516
1335,2023-08-27 07:33:26,alert_306,node_V,73,service_D,Description of event,condition_3,4714
2936,2023-08-13 07:33:26,alert_890,node_X,40,service_E,Description of event,condition_4,1232
6490,2023-08-24 07:33:26,alert_527,node_R,54,service_E,Description of event,condition_3,9562
6895,2023-08-03 07:33:26,alert_119,node_N,94,service_C,Description of event,condition_1,2053
5781,2023-08-28 07:33:26,alert_836,node_B,77,service_B,Description of event,condition_2,4805
7907,2023-08-19 07:33:26,alert_166,node_H,40,service_C,Description of event,condition_1,4005
9598,2023-08-17 07:33:26,alert_862,node_R,71,service_A,Description of event,condition_2,6122
6276,2023-08-03 07:33:26,alert_575,node_E,70,service_A,Description of event,condition_1,6331
4398,2023-08-10 07:33:26,alert_394,node_J,54,service_E,Description of event,condition_5,9097
6621,2023-08-25 07:33:26,alert_779,node_C,42,service_B,Description of event,condition_2,2803
2554,2023-08-27 07:33:26,alert_514,node_K,80,service_A,Description of event,condition_2,8987
4824,2023-08-15 07:33:26,alert_693,node_H,41,service_C,Description of event,condition_1,9000
9161,2023-08-20 07:33:26,alert_962,node_F,39,service_D,Description of event,condition_2,1348
6529,2023-08-13 07:33:26,alert_259,node_J,92,service_E,Description of event,condition_5,7003
8804,2023-08-27 07:33:26,alert_265,node_Q,55,service_D,Description of event,condition_3,2386
2472,2023-08-13 07:33:26,alert_485,node_W,97,service_D,Description of event,condition_1,6615
4362,2023-08-26 07:33:26,alert_549,node_E,91,service_F,Description of event,condition_5,2967
7915,2023-08-22 07:33:26,alert_147,node_I,18,service_B,Description of event,condition_1,7475
6112,2023-08-08 07:33:26,alert_418,node_A,33,service_E,Description of event,condition_4,8634
1246,2023-08-04 07:33:26,alert_540,node_Z,19,service_E,Description of event,condition_4,8302
4473,2023-08-25 07:33:26,alert_678,node_Y,51,service_F,Description of event,condition_3,2376
4621,2023-08-24 07:33:26,alert_271,node_Z,66,service_C,Description of event,condition_1,1821
2563,2023-08-19 07:33:26,alert_521,node_S,28,service_F,Description of event,condition_2,3671
5748,2023-08-01 07:33:26,alert_362,node_R,20,service_A,Description of event,condition_4,1377
7400,2023-08-12 07:33:26,alert_659,node_P,89,service_D,Description of event,condition_3,4535
4177,2023-08-18 07:33:26,alert_648,node_N,14,service_F,Description of event,condition_3,9141
3739,2023-08-19 07:33:26,alert_778,node_R,81,service_C,Description of event,condition_2,1213
